textID,text,sentiment,index
cb774db0d1," I`d have responded, if I were going",neutral,responded going
549e992a42, Sooo SAD I will miss you here in San Diego!!!,negative,sooo sad miss san diego
088c60f138,my boss is bullying me...,negative,boss bullying
9642c003ef, what interview! leave me alone,negative,interview leave alone
358bd9e861," Sons of ****, why couldn`t they put them on the releases we already bought",negative,sons put releases already bought
28b57f3990,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral,http www dothebouncy com smf shameless plugging best rangers forum earth
6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos,positive,feedings baby fun smiles coos
50e14c0bb8,Soooo high,neutral,soooo high
e050245fbd, Both of you,neutral,
fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),positive,journey wow became cooler hehe possible
2339a9b08b," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral,much love hopeful reckon chances minimal never gonna get cake stuff
16fab9f95b,I really really like the song Love Story by Taylor Swift,positive,really really like song love story taylor swift
74a76f6e0a,My Sharpie is running DANGERously low on ink,negative,sharpie running dangerously low ink
04dd1d2e34,i want to go to music tonight but i lost my voice.,negative,want music tonight lost voice
bbe3cbf620,test test from the LG enV2,neutral,test test env
3440297f8b," S`ok, trying to plot alternatives as we speak *sigh*",negative,trying plot alternatives speak sigh
919fa93391,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",negative,sick past days thus hair looks wierd didnt hat would look http tinyurl com mnf
af3fed7fc3,is back home now      gonna miss every one,negative,back home gonna miss every one
40e7becabf,Hes just not that into you,neutral,hes
04d17ef61e," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral,marly sorry hope find soon
e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive,playing ghost online really interesting new updates kirin pet metamorph third job wait dragon pet
7de057cf40,is cleaning the house for her family who is comming later today..,neutral,cleaning house family comming later today
9ce5570064,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral,gotta restart computer thought win supposed put end constant rebootiness
0c8cc71c46,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral,see wat mean bout foll friidays called lose llowers friday smh
e00c6ef376,"the free fillin` app on my ipod is fun, im addicted",positive,free fillin app ipod fun addicted
852edc3769,  I`m sorry.,negative,sorry
